Correction base date,Latitude,Longitude,Distance from FDNPP(km),Value (microSv/hr),,,Basic Grid Square,MeshID_250m,MeshID_100m,MeshID_50m,MeshID_20m
4/6/2011,37.631535,140.658079,40.451306,1.3,,,5640_3552,5640_3552_43,5640_3552_76,5640_3552_76_3,5640_3552_76_42
4/6/2011,37.681222,140.590417,48.517891,1.4,,,5640_4417,5640_4417_31,5640_4417_72,5640_4417_72_1,5640_4417_72_21
4/6/2011,37.665472,140.63325,44.445336,1.4,,,5640_3590,5640_3590_43,5640_3590_86,5640_3590_86_4,5640_3590_86_23
4/6/2011,37.648083,140.567917,48.120038,1.1,,,5640_3475,5640_3475_34,5640_3475_74,5640_3475_74_3,5640_3475_74_31
4/6/2011,37.694194,140.560306,51.512503,0.5,,,5640_4434,5640_4434_24,5640_4434_38,5640_4434_38_1,5640_4434_38_01
4/6/2011,37.672694,140.6495,43.818879,0.68,,,5640_4501,5640_4501_42,5640_4501_79,5640_4501_79_2,5640_4501_79_12
4/6/2011,37.580722,140.638361,39.045273,2,,,5640_2591,5640_2591_31,5640_2591_60,5640_2591_60_4,5640_2591_60_43
4/6/2011,37.664444,140.588889,47.550694,1.1,,,5640_3497,5640_3497_31,5640_3497_71,5640_3497_71_1,5640_3497_71_10
4/6/2011,37.611389,140.680833,37.528819,4,,,5640_3534,5640_3534_14,5640_3534_34,5640_3534_34_4,5640_3534_34_33
4/6/2011,37.563167,140.679778,34.901153,0.99,,,5640_2574,5640_2574_32,5640_2574_53,5640_2574_53_4,5640_2574_53_44
4/6/2011,37.646333,140.5875,46.548789,1.2,,,5640_3477,5640_3477_31,5640_3477_50,5640_3477_50_3,5640_3477_50_20
4/6/2011,37.695674,140.601453,48.718613,1,,,5640_4438,5640_4438_13,5640_4438_41,5640_4438_41_3,5640_4438_41_40
4/6/2011,37.590917,140.642583,39.239495,1.2,,,5640_3501,5640_3501_34,5640_3501_94,5640_3501_94_1,5640_3501_94_00
4/6/2011,37.683586,140.618161,46.730299,0.82,,,5640_4429,5640_4429_12,5640_4429_04,5640_4429_04_2,5640_4429_04_12
4/6/2011,37.649167,140.657222,41.666072,1.5,,,5640_3572,5640_3572_43,5640_3572_95,5640_3572_95_2,5640_3572_95_03
4/6/2011,37.610833,140.656667,39.28262,3.3,,,5640_3532,5640_3532_23,5640_3532_25,5640_3532_25_3,5640_3532_25_41
4/6/2011,37.666111,140.565556,49.364622,1.1,,,5640_3495,5640_3495_33,5640_3495_92,5640_3495_92_1,5640_3495_92_12
